,Economy ISO3,Indicator,2009-01-01,2009-01-01 00:00:00,2009-02-01,2009-03-01,2009-04-01,2009-04-01 00:00:00,2009-05-01,2009-06-01,2009-07-01,2009-07-01 00:00:00,2009-08-01,2009-09-01,2009-10-01,2009-10-01 00:00:00,2009-11-01,2009-12-01,2010-01-01,2010-01-01 00:00:00,2010-02-01,2010-03-01,2010-04-01,2010-04-01 00:00:00,2010-05-01,2010-06-01,2010-07-01,2010-07-01 00:00:00,2010-08-01,2010-09-01,2010-10-01,2010-10-01 00:00:00,2010-11-01,2010-12-01,2011-01-01,2011-01-01 00:00:00,2011-02-01,2011-03-01,2011-04-01,2011-04-01 00:00:00,2011-05-01,2011-06-01,2011-07-01,2011-07-01 00:00:00,2011-08-01,2011-09-01,2011-10-01,2011-10-01 00:00:00,2011-11-01,2011-12-01,2012-01-01,2012-01-01 00:00:00,2012-02-01,2012-03-01,2012-04-01,2012-04-01 00:00:00,2012-05-01,2012-06-01,2012-07-01,2012-07-01 00:00:00,2012-08-01,2012-09-01,2012-10-01,2012-10-01 00:00:00,2012-11-01,2012-12-01,2013-01-01,2013-01-01 00:00:00,2013-02-01,2013-03-01,2013-04-01,2013-04-01 00:00:00,2013-05-01,2013-06-01,2013-07-01,2013-07-01 00:00:00,2013-08-01,2013-09-01,2013-10-01,2013-10-01 00:00:00,2013-11-01,2013-12-01,2014-01-01,2014-01-01 00:00:00,2014-02-01,2014-03-01,2014-04-01,2014-04-01 00:00:00,2014-05-01,2014-06-01,2014-07-01,2014-07-01 00:00:00,2014-08-01,2014-09-01,2014-10-01,2014-10-01 00:00:00,2014-11-01,2014-12-01,2015-01-01,2015-01-01 00:00:00,2015-02-01,2015-03-01,2015-04-01,2015-04-01 00:00:00,2015-05-01,2015-06-01,2015-07-01,2015-07-01 00:00:00,2015-08-01,2015-09-01,2015-10-01,2015-10-01 00:00:00,2015-11-01,2015-12-01,2016-01-01,2016-01-01 00:00:00,2016-02-01,2016-03-01,2016-04-01,2016-04-01 00:00:00,2016-05-01,2016-06-01,2016-07-01,2016-07-01 00:00:00,2016-08-01,2016-09-01,2016-10-01,2016-10-01 00:00:00,2016-11-01,2016-12-01,2017-01-01,2017-01-01 00:00:00,2017-02-01,2017-03-01,2017-04-01,2017-04-01 00:00:00,2017-05-01,2017-06-01,2017-07-01,2017-07-01 00:00:00,2017-08-01,2017-09-01,2017-10-01,2017-10-01 00:00:00,2017-11-01,2017-12-01,2018-01-01,2018-01-01 00:00:00,2018-02-01,2018-03-01,2018-04-01,2018-04-01 00:00:00,2018-05-01,2018-06-01,2018-07-01,2018-07-01 00:00:00,2018-08-01,2018-09-01,2018-10-01,2018-10-01 00:00:00,2018-11-01,2018-12-01,2019-01-01,2019-01-01 00:00:00,2019-02-01,2019-03-01,2019-04-01,2019-04-01 00:00:00,2019-05-01,2019-06-01,2019-07-01,2019-07-01 00:00:00,2019-08-01,2019-09-01,2019-10-01,2019-10-01 00:00:00,2019-11-01,2019-12-01,2020-01-01,2020-01-01 00:00:00,2020-02-01,2020-03-01,2020-04-01,2020-04-01 00:00:00,2020-05-01,2020-06-01,2020-07-01,2020-07-01 00:00:00,2020-08-01,2020-09-01,2020-10-01,2020-10-01 00:00:00,2020-11-01,2020-12-01,2021-01-01,2021-01-01 00:00:00,2021-02-01,2021-03-01,2021-04-01,2021-04-01 00:00:00,2021-05-01,2021-06-01,2021-07-01,2021-07-01 00:00:00,2021-08-01,2021-09-01,2021-10-01,2021-10-01 00:00:00,2021-11-01,2021-12-01,2022-01-01,2022-01-01 00:00:00,2022-02-01,2022-03-01,2022-04-01,2022-04-01 00:00:00,2022-05-01,2022-06-01,2022-07-01,2022-07-01 00:00:00,2022-08-01,2022-09-01,2022-10-01,2022-10-01 00:00:00,2022-11-01,2022-12-01,2023-01-01,2023-01-01 00:00:00,2023-02-01,2023-03-01,2023-12-01
19,AFG,"Headline consumer price inflation, annual",-6.81,,,,,,,,,,,,,,,,2.18,,,,,,,,,,,,,,,,11.8,,,,,,,,,,,,,,,,6.44,,,,,,,,,,,,,,,,7.39,,,,,,,,,,,,,,,,4.67,,,,,,,,,,,,,,,,-0.66,,,,,,,,,,,,,,,,4.38,,,,,,,,,,,,,,,,4.98,,,,,,,,,,,,,,,,0.63,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,5.44,,,,,,,,,,,,,,,,5.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,AGO,"GDP deflator growth rate, annual",-16.76,,,,,,,,,,,,,,,,31.69,,,,,,,,,,,,,,,,31.77,,,,,,,,,,,,,,,,7.26,,,,,,,,,,,,,,,,2.84,,,,,,,,,,,,,,,,3.56,,,,,,,,,,,,,,,,-3.52,,,,,,,,,,,,,,,,21.77,,,,,,,,,,,,,,,,22.62,,,,,,,,,,,,,,,,33.76,,,,,,,,,,,,,,,,22.93,,,,,,,,,,,,,,,,15.02,,,,,,,,,,,,,,,,33.62,,,,,,,,,,,,,,,,41.39,,,,,,,,,,,,,,,,,,,,
24,AGO,"Food price inflation, annual",18.14,,,,,,,,,,,,,,,,17.42,,,,,,,,,,,,,,,,14.95,,,,,,,,,,,,,,,,12.77,,,,,,,,,,,,,,,,10.35,,,,,,,,,,,,,,,,7.03,,,,,,,,,,,,,,,,9.3,,,,,,,,,,,,,,,,21.24,,,,,,,,,,,,,,,,40.99,,,,,,,,,,,,,,,,22.35,,,,,,,,,,,,,,,,17.71,,,,,,,,,,,,,,,,25.24,,,,,,,,,,,,,,,,23.9,,,,,,,,,,,,,,,,22.87,,,,,,,,,,,,,,,,,,,,
27,AGO,"Headline consumer price inflation, annual",13.72,,,,,,,,,,,,,,,,14.48,,,,,,,,,,,,,,,,13.48,,,,,,,,,,,,,,,,10.28,,,,,,,,,,,,,,,,8.78,,,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,,,,9.16,,,,,,,,,,,,,,,,32.38,,,,,,,,,,,,,,,,29.84,,,,,,,,,,,,,,,,19.63,,,,,,,,,,,,,,,,17.08,,,,,,,,,,,,,,,,21.02,,,,,,,,,,,,,,,,23.85,,,,,,,,,,,,,,,,23.83,,,,,,,,,,,,,,,,,,,,
30,AGO,"Producer price inflation, annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.38,,,,,,,,,,,,,,,,6.72,,,,,,,,,,,,,,,,9.17,,,,,,,,,,,,,,,,20.39,,,,,,,,,,,,,,,,23.02,,,,,,,,,,,,,,,,16.09,,,,,,,,,,,,,,,,17.57,,,,,,,,,,,,,,,,23.15,,,,,,,,,,,,,,,,29.8,,,,,,,,,,,,,,,,26.02,,,,,,,,,,,,,,,,,,,,
32,ALB,"Official core consumer price inflation, annual",1.57,,,,,,,,,,,,,,,,1.83,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,1.71,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,-0.16,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,,,,0.93,,,,,,,,,,,,,,,,0.74,,,,,,,,,,,,,,,,1.41,,,,,,,,,,,,,,,,1.68,,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,
33,ALB,"Estimated core consumer price inflation, annual",-0.13,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,0.62,,,,,,,,,,,,,,,,0.76,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,-0.05,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,-0.09,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,-0.25,,,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,1.61,,,,,,,,,,,,,,,,,,,,
38,ALB,"GDP deflator growth rate, annual",2.42,,,,,,,,,,,,,,,,4.49,,,,,,,,,,,,,,,,2.32,,,,,,,,,,,,,,,,1.04,,,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,1.55,,,,,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,-0.63,,,,,,,,,,,,,,,,1.45,,,,,,,,,,,,,,,,1.36,,,,,,,,,,,,,,,,0.36,,,,,,,,,,,,,,,,1.41,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,,,,,,9.65,,,,,,,,,,,,,,,,,,,,
40,ALB,"Energy price inflation, annual",1.75,,,,,,,,,,,,,,,,3.62,,,,,,,,,,,,,,,,2.76,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,1.33,,,,,,,,,,,,,,,,-0.52,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,0.69,,,,,,,,,,,,,,,,1.42,,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,14.22,,,,,,,,,,,,,,,,,,,,
43,ALB,"Food price inflation, annual",4.91,,,,,,,,,,,,,,,,4.81,,,,,,,,,,,,,,,,4.75,,,,,,,,,,,,,,,,2.34,,,,,,,,,,,,,,,,4.24,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,4.32,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,3.91,,,,,,,,,,,,,,,,2.67,,,,,,,,,,,,,,,,2.91,,,,,,,,,,,,,,,,3.61,,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,,,,11.2,,,,,,,,,,,,,,,,,,,,
