,Economy ISO3,Indicator,2009-01-01,2009-01-01 00:00:00,2009-02-01,2009-03-01,2009-04-01,2009-04-01 00:00:00,2009-05-01,2009-06-01,2009-07-01,2009-07-01 00:00:00,2009-08-01,2009-09-01,2009-10-01,2009-10-01 00:00:00,2009-11-01,2009-12-01,2010-01-01,2010-01-01 00:00:00,2010-02-01,2010-03-01,2010-04-01,2010-04-01 00:00:00,2010-05-01,2010-06-01,2010-07-01,2010-07-01 00:00:00,2010-08-01,2010-09-01,2010-10-01,2010-10-01 00:00:00,2010-11-01,2010-12-01,2011-01-01,2011-01-01 00:00:00,2011-02-01,2011-03-01,2011-04-01,2011-04-01 00:00:00,2011-05-01,2011-06-01,2011-07-01,2011-07-01 00:00:00,2011-08-01,2011-09-01,2011-10-01,2011-10-01 00:00:00,2011-11-01,2011-12-01,2012-01-01,2012-01-01 00:00:00,2012-02-01,2012-03-01,2012-04-01,2012-04-01 00:00:00,2012-05-01,2012-06-01,2012-07-01,2012-07-01 00:00:00,2012-08-01,2012-09-01,2012-10-01,2012-10-01 00:00:00,2012-11-01,2012-12-01,2013-01-01,2013-01-01 00:00:00,2013-02-01,2013-03-01,2013-04-01,2013-04-01 00:00:00,2013-05-01,2013-06-01,2013-07-01,2013-07-01 00:00:00,2013-08-01,2013-09-01,2013-10-01,2013-10-01 00:00:00,2013-11-01,2013-12-01,2014-01-01,2014-01-01 00:00:00,2014-02-01,2014-03-01,2014-04-01,2014-04-01 00:00:00,2014-05-01,2014-06-01,2014-07-01,2014-07-01 00:00:00,2014-08-01,2014-09-01,2014-10-01,2014-10-01 00:00:00,2014-11-01,2014-12-01,2015-01-01,2015-01-01 00:00:00,2015-02-01,2015-03-01,2015-04-01,2015-04-01 00:00:00,2015-05-01,2015-06-01,2015-07-01,2015-07-01 00:00:00,2015-08-01,2015-09-01,2015-10-01,2015-10-01 00:00:00,2015-11-01,2015-12-01,2016-01-01,2016-01-01 00:00:00,2016-02-01,2016-03-01,2016-04-01,2016-04-01 00:00:00,2016-05-01,2016-06-01,2016-07-01,2016-07-01 00:00:00,2016-08-01,2016-09-01,2016-10-01,2016-10-01 00:00:00,2016-11-01,2016-12-01,2017-01-01,2017-01-01 00:00:00,2017-02-01,2017-03-01,2017-04-01,2017-04-01 00:00:00,2017-05-01,2017-06-01,2017-07-01,2017-07-01 00:00:00,2017-08-01,2017-09-01,2017-10-01,2017-10-01 00:00:00,2017-11-01,2017-12-01,2018-01-01,2018-01-01 00:00:00,2018-02-01,2018-03-01,2018-04-01,2018-04-01 00:00:00,2018-05-01,2018-06-01,2018-07-01,2018-07-01 00:00:00,2018-08-01,2018-09-01,2018-10-01,2018-10-01 00:00:00,2018-11-01,2018-12-01,2019-01-01,2019-01-01 00:00:00,2019-02-01,2019-03-01,2019-04-01,2019-04-01 00:00:00,2019-05-01,2019-06-01,2019-07-01,2019-07-01 00:00:00,2019-08-01,2019-09-01,2019-10-01,2019-10-01 00:00:00,2019-11-01,2019-12-01,2020-01-01,2020-01-01 00:00:00,2020-02-01,2020-03-01,2020-04-01,2020-04-01 00:00:00,2020-05-01,2020-06-01,2020-07-01,2020-07-01 00:00:00,2020-08-01,2020-09-01,2020-10-01,2020-10-01 00:00:00,2020-11-01,2020-12-01,2021-01-01,2021-01-01 00:00:00,2021-02-01,2021-03-01,2021-04-01,2021-04-01 00:00:00,2021-05-01,2021-06-01,2021-07-01,2021-07-01 00:00:00,2021-08-01,2021-09-01,2021-10-01,2021-10-01 00:00:00,2021-11-01,2021-12-01,2022-01-01,2022-01-01 00:00:00,2022-02-01,2022-03-01,2022-04-01,2022-04-01 00:00:00,2022-05-01,2022-06-01,2022-07-01,2022-07-01 00:00:00,2022-08-01,2022-09-01,2022-10-01,2022-10-01 00:00:00,2022-11-01,2022-12-01,2023-01-01,2023-01-01 00:00:00,2023-02-01,2023-03-01,2023-12-01
740,DNK,"GDP deflator growth rate, annual",0.53,,,,,,,,,,,,,,,,3.23,,,,,,,,,,,,,,,,0.64,,,,,,,,,,,,,,,,2.37,,,,,,,,,,,,,,,,0.89,,,,,,,,,,,,,,,,1.04,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,1.19,,,,,,,,,,,,,,,,0.57,,,,,,,,,,,,,,,,0.74,,,,,,,,,,,,,,,,2.05,,,,,,,,,,,,,,,,2.77,,,,,,,,,,,,,,,,7.05,,,,,,,,,,,,,,,,,,,,
742,DNK,"Energy price inflation, annual",1.95,,,,,,,,,,,,,,,,3.73,,,,,,,,,,,,,,,,3.84,,,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,1.98,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,1.23,,,,,,,,,,,,,,,,1.18,,,,,,,,,,,,,,,,-0.29,,,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,11.54,,,,,,,,,,,,,,,,41.56,,,,,,,,,,,,,,,,,,,,
745,DNK,"Food price inflation, annual",-0.09,,,,,,,,,,,,,,,,0.37,,,,,,,,,,,,,,,,3.96,,,,,,,,,,,,,,,,4.29,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,,,,,-0.87,,,,,,,,,,,,,,,,1.04,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,2.81,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,1.39,,,,,,,,,,,,,,,,0.64,,,,,,,,,,,,,,,,0.58,,,,,,,,,,,,,,,,11.51,,,,,,,,,,,,,,,,,,,,
748,DNK,"Headline consumer price inflation, annual",1.3,,,,,,,,,,,,,,,,2.31,,,,,,,,,,,,,,,,2.76,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,0.79,,,,,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,1.06,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,0.73,,,,,,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,1.85,,,,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,,,,,,,
753,DNK,"Producer price inflation, annual",-10.38,,,,,,,,,,,,,,,,7.36,,,,,,,,,,,,,,,,8.6,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,1.62,,,,,,,,,,,,,,,,-0.99,,,,,,,,,,,,,,,,-3.68,,,,,,,,,,,,,,,,-1.4,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,,-0.65,,,,,,,,,,,,,,,,-2.74,,,,,,,,,,,,,,,,13.64,,,,,,,,,,,,,,,,28.88,,,,,,,,,,,,,,,,,,,,
756,DOM,"Official core consumer price inflation, annual",5.18,,,,,,,,,,,,,,,,3.46,,,,,,,,,,,,,,,,5.54,,,,,,,,,,,,,,,,3.71,,,,,,,,,,,,,,,,4.88,,,,,,,,,,,,,,,,3.24,,,,,,,,,,,,,,,,2.23,,,,,,,,,,,,,,,,1.68,,,,,,,,,,,,,,,,2.18,,,,,,,,,,,,,,,,2.58,,,,,,,,,,,,,,,,2.14,,,,,,,,,,,,,,,,3.63,,,,,,,,,,,,,,,,5.92,,,,,,,,,,,,,,,,6.99,,,,,,,,,,,,,,,,,,,,
757,DOM,"Estimated core consumer price inflation, annual",-1.39,,,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,1.87,,,,,,,,,,,,,,,,2.02,,,,,,,,,,,,,,,,3.06,,,,,,,,,,,,,,,,1.36,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,0.63,,,,,,,,,,,,,,,,1.46,,,,,,,,,,,,,,,,1.78,,,,,,,,,,,,,,,,1.45,,,,,,,,,,,,,,,,1.74,,,,,,,,,,,,,,,,4.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,DOM,"GDP deflator growth rate, annual",3.5,,,,,,,,,,,,,,,,5.44,,,,,,,,,,,,,,,,8.06,,,,,,,,,,,,,,,,5.1,,,,,,,,,,,,,,,,4.69,,,,,,,,,,,,,,,,4.32,,,,,,,,,,,,,,,,2.47,,,,,,,,,,,,,,,,1.99,,,,,,,,,,,,,,,,4.18,,,,,,,,,,,,,,,,4.12,,,,,,,,,,,,,,,,2.53,,,,,,,,,,,,,,,,4.48,,,,,,,,,,,,,,,,7.78,,,,,,,,,,,,,,,,10.75,,,,,,,,,,,,,,,,,,,,
764,DOM,"Energy price inflation, annual",8.03,,,,,,,,,,,,,,,,10.72,,,,,,,,,,,,,,,,13.79,,,,,,,,,,,,,,,,1.98,,,,,,,,,,,,,,,,2.78,,,,,,,,,,,,,,,,2.94,,,,,,,,,,,,,,,,-4.48,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,5.32,,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,,,,-2.25,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,6.47,,,,,,,,,,,,,,,,10.9,,,,,,,,,,,,,,,,,,,,
767,DOM,"Food price inflation, annual",3.26,,,,,,,,,,,,,,,,4.17,,,,,,,,,,,,,,,,9.14,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,4.65,,,,,,,,,,,,,,,,3.91,,,,,,,,,,,,,,,,6.74,,,,,,,,,,,,,,,,2.15,,,,,,,,,,,,,,,,2.31,,,,,,,,,,,,,,,,3.61,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,,,,6.35,,,,,,,,,,,,,,,,9.87,,,,,,,,,,,,,,,,10.65,,,,,,,,,,,,,,,,,,,,
770,DOM,"Headline consumer price inflation, annual",1.48,,,,,,,,,,,,,,,,6.34,,,,,,,,,,,,,,,,8.45,,,,,,,,,,,,,,,,3.68,,,,,,,,,,,,,,,,4.82,,,,,,,,,,,,,,,,3.01,,,,,,,,,,,,,,,,0.85,,,,,,,,,,,,,,,,1.63,,,,,,,,,,,,,,,,3.28,,,,,,,,,,,,,,,,3.56,,,,,,,,,,,,,,,,1.81,,,,,,,,,,,,,,,,3.78,,,,,,,,,,,,,,,,8.24,,,,,,,,,,,,,,,,8.81,,,,,,,,,,,,,,,,,,,,
775,DZA,"Estimated core consumer price inflation, annual",1.04,,,,,,,,,,,,,,,,1.29,,,,,,,,,,,,,,,,2.11,,,,,,,,,,,,,,,,1.68,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,0.68,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,2.43,,,,,,,,,,,,,,,,2.43,,,,,,,,,,,,,,,,1.54,,,,,,,,,,,,,,,,1.73,,,,,,,,,,,,,,,,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778,DZA,"GDP deflator growth rate, annual",-11.19,,,,,,,,,,,,,,,,16.1,,,,,,,,,,,,,,,,18.23,,,,,,,,,,,,,,,,7.45,,,,,,,,,,,,,,,,-0.09,,,,,,,,,,,,,,,,-0.3,,,,,,,,,,,,,,,,-6.46,,,,,,,,,,,,,,,,1.55,,,,,,,,,,,,,,,,6.39,,,,,,,,,,,,,,,,7.06,,,,,,,,,,,,,,,,-0.91,,,,,,,,,,,,,,,,-4.69,,,,,,,,,,,,,,,,15.74,,,,,,,,,,,,,,,,15.57,,,,,,,,,,,,,,,,,,,,
779,DZA,"Energy price inflation, annual",2.67,,,,,,,,,,,,,,,,1.85,,,,,,,,,,,,,,,,1.62,,,,,,,,,,,,,,,,4.16,,,,,,,,,,,,,,,,2.73,,,,,,,,,,,,,,,,2.83,,,,,,,,,,,,,,,,1.75,,,,,,,,,,,,,,,,5.98,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,1.24,,,,,,,,,,,,,,,,1.43,,,,,,,,,,,,,,,,1.39,,,,,,,,,,,,,,,,1.47,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,
782,DZA,"Food price inflation, annual",8.23,,,,,,,,,,,,,,,,4.24,,,,,,,,,,,,,,,,5.9,,,,,,,,,,,,,,,,12.96,,,,,,,,,,,,,,,,2.98,,,,,,,,,,,,,,,,4.54,,,,,,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,2.62,,,,,,,,,,,,,,,,5.61,,,,,,,,,,,,,,,,1.74,,,,,,,,,,,,,,,,0.64,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,10.13,,,,,,,,,,,,,,,,12.7,,,,,,,,,,,,,,,,,,,,
785,DZA,"Headline consumer price inflation, annual",9.36,,,,,,,,,,,,,,,,4.21,,,,,,,,,,,,,,,,5.74,,,,,,,,,,,,,,,,9.7,,,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,,3.88,,,,,,,,,,,,,,,,4.39,,,,,,,,,,,,,,,,5.8,,,,,,,,,,,,,,,,5.59,,,,,,,,,,,,,,,,3.51,,,,,,,,,,,,,,,,1.95,,,,,,,,,,,,,,,,2.42,,,,,,,,,,,,,,,,7.23,,,,,,,,,,,,,,,,9.27,,,,,,,,,,,,,,,,,,,,
788,DZA,"Producer price inflation, annual",3.38,,,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,2.14,,,,,,,,,,,,,,,,2.65,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,1.04,,,,,,,,,,,,,,,,2.25,,,,,,,,,,,,,,,,4.12,,,,,,,,,,,,,,,,1.88,,,,,,,,,,,,,,,,4.08,,,,,,,,,,,,,,,,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,ECU,"Estimated core consumer price inflation, annual",3.35,,,,,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,,2.48,,,,,,,,,,,,,,,,3.22,,,,,,,,,,,,,,,,1.83,,,,,,,,,,,,,,,,1.74,,,,,,,,,,,,,,,,1.78,,,,,,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,-0.15,,,,,,,,,,,,,,,,-0.18,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,-0.59,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,ECU,"GDP deflator growth rate, annual",0.66,,,,,,,,,,,,,,,,7.46,,,,,,,,,,,,,,,,5.66,,,,,,,,,,,,,,,,4.98,,,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,3.03,,,,,,,,,,,,,,,,-2.49,,,,,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,,1.95,,,,,,,,,,,,,,,,1.82,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,-3.33,,,,,,,,,,,,,,,,2.58,,,,,,,,,,,,,,,,5.27,,,,,,,,,,,,,,,,,,,,
795,ECU,"Energy price inflation, annual",2.16,,,,,,,,,,,,,,,,2.53,,,,,,,,,,,,,,,,2.16,,,,,,,,,,,,,,,,2.56,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,3.71,,,,,,,,,,,,,,,,5.53,,,,,,,,,,,,,,,,3.46,,,,,,,,,,,,,,,,2.03,,,,,,,,,,,,,,,,1.43,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,
798,ECU,"Food price inflation, annual",5.89,,,,,,,,,,,,,,,,4.83,,,,,,,,,,,,,,,,6.73,,,,,,,,,,,,,,,,5.81,,,,,,,,,,,,,,,,1.78,,,,,,,,,,,,,,,,4.52,,,,,,,,,,,,,,,,4.21,,,,,,,,,,,,,,,,2.54,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,-1.63,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,0.76,,,,,,,,,,,,,,,,-0.85,,,,,,,,,,,,,,,,4.74,,,,,,,,,,,,,,,,,,,,
801,ECU,"Headline consumer price inflation, annual",5.16,,,,,,,,,,,,,,,,3.55,,,,,,,,,,,,,,,,4.47,,,,,,,,,,,,,,,,5.1,,,,,,,,,,,,,,,,2.72,,,,,,,,,,,,,,,,3.59,,,,,,,,,,,,,,,,3.97,,,,,,,,,,,,,,,,1.73,,,,,,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,-0.22,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,-0.34,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,3.47,,,,,,,,,,,,,,,,,,,,
806,ECU,"Producer price inflation, annual",-0.35,,,,,,,,,,,,,,,,6.11,,,,,,,,,,,,,,,,5.48,,,,,,,,,,,,,,,,2.84,,,,,,,,,,,,,,,,1.18,,,,,,,,,,,,,,,,3.86,,,,,,,,,,,,,,,,1.97,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,-0.66,,,,,,,,,,,,,,,,1.31,,,,,,,,,,,,,,,,-0.12,,,,,,,,,,,,,,,,-0.96,,,,,,,,,,,,,,,,0.87,,,,,,,,,,,,,,,,6.73,,,,,,,,,,,,,,,,,,,,
809,EGY,"Official core consumer price inflation, annual",8.51,,,,,,,,,,,,,,,,7.03,,,,,,,,,,,,,,,,8.28,,,,,,,,,,,,,,,,6.15,,,,,,,,,,,,,,,,9.03,,,,,,,,,,,,,,,,9.21,,,,,,,,,,,,,,,,6.94,,,,,,,,,,,,,,,,13.39,,,,,,,,,,,,,,,,30.64,,,,,,,,,,,,,,,,10.12,,,,,,,,,,,,,,,,5.73,,,,,,,,,,,,,,,,2.33,,,,,,,,,,,,,,,,4.38,,,,,,,,,,,,,,,,14.98,,,,,,,,,,,,,,,,,,,,
810,EGY,"Estimated core consumer price inflation, annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.57,,,,,,,,,,,,,,,,0.88,,,,,,,,,,,,,,,,2.68,,,,,,,,,,,,,,,,3.72,,,,,,,,,,,,,,,,3.14,,,,,,,,,,,,,,,,5.13,,,,,,,,,,,,,,,,10.18,,,,,,,,,,,,,,,,3.35,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,3.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,EGY,"GDP deflator growth rate, annual",11.19,,,,,,,,,,,,,,,,10.11,,,,,,,,,,,,,,,,11.66,,,,,,,,,,,,,,,,13.63,,,,,,,,,,,,,,,,7.54,,,,,,,,,,,,,,,,11.25,,,,,,,,,,,,,,,,9.93,,,,,,,,,,,,,,,,6.25,,,,,,,,,,,,,,,,23.06,,,,,,,,,,,,,,,,21.43,,,,,,,,,,,,,,,,13.62,,,,,,,,,,,,,,,,5.59,,,,,,,,,,,,,,,,4.81,,,,,,,,,,,,,,,,6.07,,,,,,,,,,,,,,,,,,,,
817,EGY,"Energy price inflation, annual",5.09,,,,,,,,,,,,,,,,1.95,,,,,,,,,,,,,,,,3.29,,,,,,,,,,,,,,,,6.4,,,,,,,,,,,,,,,,4.63,,,,,,,,,,,,,,,,3.59,,,,,,,,,,,,,,,,7.43,,,,,,,,,,,,,,,,5.07,,,,,,,,,,,,,,,,9.76,,,,,,,,,,,,,,,,14.4,,,,,,,,,,,,,,,,9.59,,,,,,,,,,,,,,,,4.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.88,,,,,,,,,,,,,,,,,,,,
820,EGY,"Food price inflation, annual",16.03,,,,,,,,,,,,,,,,19.87,,,,,,,,,,,,,,,,15.49,,,,,,,,,,,,,,,,9.21,,,,,,,,,,,,,,,,12.42,,,,,,,,,,,,,,,,12.29,,,,,,,,,,,,,,,,10.67,,,,,,,,,,,,,,,,16.66,,,,,,,,,,,,,,,,38.66,,,,,,,,,,,,,,,,13.3,,,,,,,,,,,,,,,,7.08,,,,,,,,,,,,,,,,-0.2,,,,,,,,,,,,,,,,4.6,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,
823,EGY,"Headline consumer price inflation, annual",11.88,,,,,,,,,,,,,,,,11.06,,,,,,,,,,,,,,,,10.08,,,,,,,,,,,,,,,,7.12,,,,,,,,,,,,,,,,9.47,,,,,,,,,,,,,,,,10.06,,,,,,,,,,,,,,,,10.35,,,,,,,,,,,,,,,,13.81,,,,,,,,,,,,,,,,23.54,,,,,,,,,,,,,,,,14.4,,,,,,,,,,,,,,,,13.88,,,,,,,,,,,,,,,,5.7,,,,,,,,,,,,,,,,5.21,,,,,,,,,,,,,,,,13.9,,,,,,,,,,,,,,,,,,,,
828,EGY,"Producer price inflation, annual",-5.62,,,,,,,,,,,,,,,,12.65,,,,,,,,,,,,,,,,14.72,,,,,,,,,,,,,,,,2.45,,,,,,,,,,,,,,,,3.33,,,,,,,,,,,,,,,,4.34,,,,,,,,,,,,,,,,-3.11,,,,,,,,,,,,,,,,13.75,,,,,,,,,,,,,,,,33.21,,,,,,,,,,,,,,,,24.07,,,,,,,,,,,,,,,,5.03,,,,,,,,,,,,,,,,-7.0,,,,,,,,,,,,,,,,17.32,,,,,,,,,,,,,,,,25.84,,,,,,,,,,,,,,,,,,,,
830,ERI,"GDP deflator growth rate, annual",25.27,,,,,,,,,,,,,,,,10.58,,,,,,,,,,,,,,,,3.34,,,,,,,,,,,,,,,,7.17,,,,,,,,,,,,,,,,-3.03,,,,,,,,,,,,,,,,1.58,,,,,,,,,,,,,,,,-2.61,,,,,,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,-4.41,,,,,,,,,,,,,,,,-6.8,,,,,,,,,,,,,,,,-4.84,,,,,,,,,,,,,,,,5.92,,,,,,,,,,,,,,,,1.27,,,,,,,,,,,,,,,,1.78,,,,,,,,,,,,,,,,,,,,
831,ERI,"Headline consumer price inflation, annual",33.04,,,,,,,,,,,,,,,,11.23,,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,,,,6.02,,,,,,,,,,,,,,,,6.45,,,,,,,,,,,,,,,,10.04,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,-13.31,,,,,,,,,,,,,,,,-14.4,,,,,,,,,,,,,,,,-16.36,,,,,,,,,,,,,,,,4.91,,,,,,,,,,,,,,,,6.64,,,,,,,,,,,,,,,,7.35,,,,,,,,,,,,,,,,,,,,
832,ESP,"Official core consumer price inflation, annual",-3.83,,,,,,,,,,,,,,,,0.57,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,24.55,,,,,,,,,,,,,,,,1.08,,,,,,,,,,,,,,,,-0.05,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,0.84,,,,,,,,,,,,,,,,1.13,,,,,,,,,,,,,,,,0.93,,,,,,,,,,,,,,,,0.96,,,,,,,,,,,,,,,,0.57,,,,,,,,,,,,,,,,0.57,,,,,,,,,,,,,,,,3.68,,,,,,,,,,,,,,,,,,,,
833,ESP,"Estimated core consumer price inflation, annual",-0.33,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,1.51,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,0.73,,,,,,,,,,,,,,,,-0.34,,,,,,,,,,,,,,,,-0.32,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,0.94,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,0.78,,,,,,,,,,,,,,,,-0.09,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,ESP,"GDP deflator growth rate, annual",0.15,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,-0.02,,,,,,,,,,,,,,,,-0.12,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,-0.22,,,,,,,,,,,,,,,,0.54,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,1.19,,,,,,,,,,,,,,,,1.39,,,,,,,,,,,,,,,,1.05,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,4.21,,,,,,,,,,,,,,,,,,,,
840,ESP,"Energy price inflation, annual",1.29,,,,,,,,,,,,,,,,3.53,,,,,,,,,,,,,,,,7.23,,,,,,,,,,,,,,,,5.06,,,,,,,,,,,,,,,,0.91,,,,,,,,,,,,,,,,1.34,,,,,,,,,,,,,,,,-2.1,,,,,,,,,,,,,,,,-4.24,,,,,,,,,,,,,,,,3.93,,,,,,,,,,,,,,,,2.37,,,,,,,,,,,,,,,,-1.24,,,,,,,,,,,,,,,,-3.54,,,,,,,,,,,,,,,,21.24,,,,,,,,,,,,,,,,29.42,,,,,,,,,,,,,,,,,,,,
843,ESP,"Food price inflation, annual",-1.05,,,,,,,,,,,,,,,,-0.84,,,,,,,,,,,,,,,,2.05,,,,,,,,,,,,,,,,2.33,,,,,,,,,,,,,,,,2.79,,,,,,,,,,,,,,,,-0.35,,,,,,,,,,,,,,,,1.17,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,1.23,,,,,,,,,,,,,,,,1.65,,,,,,,,,,,,,,,,1.03,,,,,,,,,,,,,,,,2.36,,,,,,,,,,,,,,,,1.85,,,,,,,,,,,,,,,,11.64,,,,,,,,,,,,,,,,,,,,
846,ESP,"Headline consumer price inflation, annual",-0.29,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,,,,2.45,,,,,,,,,,,,,,,,1.41,,,,,,,,,,,,,,,,-0.15,,,,,,,,,,,,,,,,-0.5,,,,,,,,,,,,,,,,-0.2,,,,,,,,,,,,,,,,1.96,,,,,,,,,,,,,,,,1.68,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,-0.32,,,,,,,,,,,,,,,,3.09,,,,,,,,,,,,,,,,8.39,,,,,,,,,,,,,,,,,,,,
851,ESP,"Producer price inflation, annual",-3.33,,,,,,,,,,,,,,,,3.97,,,,,,,,,,,,,,,,6.45,,,,,,,,,,,,,,,,3.38,,,,,,,,,,,,,,,,-0.06,,,,,,,,,,,,,,,,-1.46,,,,,,,,,,,,,,,,-1.48,,,,,,,,,,,,,,,,-2.72,,,,,,,,,,,,,,,,4.15,,,,,,,,,,,,,,,,2.41,,,,,,,,,,,,,,,,-0.31,,,,,,,,,,,,,,,,-3.55,,,,,,,,,,,,,,,,14.83,,,,,,,,,,,,,,,,34.62,,,,,,,,,,,,,,,,,,,,
854,EST,"Official core consumer price inflation, annual",1.87,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,1.41,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.42,,,,,,,,,,,,,,,,1.33,,,,,,,,,,,,,,,,2.12,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,2.12,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,2.78,,,,,,,,,,,,,,,,9.71,,,,,,,,,,,,,,,,,,,,
855,EST,"Estimated core consumer price inflation, annual",0.61,,,,,,,,,,,,,,,,1.57,,,,,,,,,,,,,,,,1.22,,,,,,,,,,,,,,,,0.89,,,,,,,,,,,,,,,,-0.3,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,-0.02,,,,,,,,,,,,,,,,0.54,,,,,,,,,,,,,,,,1.63,,,,,,,,,,,,,,,,1.32,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,-0.11,,,,,,,,,,,,,,,,1.21,,,,,,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,
